
1614274022.576299,A28CTAQZT20JTM,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A28CTAQZT20JTM'}
1614274047.539582,A28CTAQZT20JTM,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A28CTAQZT20JTM'}
1614274067.177865,A28CTAQZT20JTM,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A28CTAQZT20JTM'}
1614274072.715768,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A28CTAQZT20JTM'}
1614274090.7824,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A28CTAQZT20JTM'}
1614274090.784896,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A28CTAQZT20JTM'}
1614274099.140488,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A28CTAQZT20JTM'}
1614274099.142692,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A28CTAQZT20JTM'}
1614274099.166222,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A28CTAQZT20JTM'}
1614274108.183207,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A28CTAQZT20JTM'}
1614274108.197251,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A28CTAQZT20JTM'}
1614274120.151817,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A28CTAQZT20JTM'}
1614274120.168624,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A28CTAQZT20JTM'}
1614274127.75771,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A28CTAQZT20JTM'}
1614274127.759722,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A28CTAQZT20JTM'}
1614274140.292814,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A28CTAQZT20JTM'}
1614274141.232081,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A28CTAQZT20JTM'}
1614274142.590787,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A28CTAQZT20JTM'}
1614274144.262354,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A28CTAQZT20JTM'}
1614274157.318699,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A28CTAQZT20JTM'}
1614274157.632351,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A28CTAQZT20JTM'}
1614274158.224681,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A28CTAQZT20JTM'}
1614274159.198805,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A28CTAQZT20JTM'}
