
1614025119.997029,A2FGKKWP33DFWS,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FGKKWP33DFWS'}
1614025148.696057,A2FGKKWP33DFWS,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2FGKKWP33DFWS'}
1614025161.08684,A2FGKKWP33DFWS,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FGKKWP33DFWS'}
1614025164.539193,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025196.486796,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025196.489774,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025251.84602,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025251.870164,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FGKKWP33DFWS'}
1614025251.871184,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025267.406956,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025282.027313,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025282.944358,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025283.804567,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025284.327716,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025285.273729,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025285.789369,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025286.314019,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025287.460465,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025287.898089,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025288.610117,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025289.310958,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025290.697879,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025291.221365,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
