
1616340973.360664,A2GTO3481Z6486,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2GTO3481Z6486'}
1616341005.236183,A2GTO3481Z6486,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2GTO3481Z6486'}
1616341008.118572,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2GTO3481Z6486'}
1616341040.706844,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2GTO3481Z6486'}
1616341040.714632,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2GTO3481Z6486'}
1616341068.117545,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2GTO3481Z6486'}
1616341068.11883,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2GTO3481Z6486'}
1616341068.126145,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341072.877666,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2GTO3481Z6486'}
1616341072.879121,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2GTO3481Z6486'}
1616341086.455384,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2GTO3481Z6486'}
1616341086.456005,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2GTO3481Z6486'}
1616341094.082581,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2GTO3481Z6486'}
