
1614019853.148518,A2JQ5M7U6BRDL9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614019857.744086,A2JQ5M7U6BRDL9,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614019875.290959,A2JQ5M7U6BRDL9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614019886.466797,A2JQ5M7U6BRDL9,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614019923.023536,A2JQ5M7U6BRDL9,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020146.859868,A2JQ5M7U6BRDL9,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020460.688277,A2JQ5M7U6BRDL9,A2JQ5M7U6BRDL9,1,1,25,2,25,26,0,7,9,1,23,2,11,9,0,3,4,
1614020460.691978,A2JQ5M7U6BRDL9,{'worker-id': 'A2JQ5M7U6BRDL9', 'stage': 'networks', 'data': 'A2JQ5M7U6BRDL9,1,1,25,2,25,26,0,7,9,1,23,2,11,9,0,3,4,'}
1614020463.820975,A2JQ5M7U6BRDL9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020475.745507,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020490.980088,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020491.342197,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020492.547646,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020492.549644,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020492.74338,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020496.201125,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020496.203531,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020498.150005,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020498.151674,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2JQ5M7U6BRDL9'}
