
1614300953.389794,A2MOKIEQZ0OF2M,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614300973.162291,A2MOKIEQZ0OF2M,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301009.407734,A2MOKIEQZ0OF2M,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301019.822583,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301080.714525,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301080.71612,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301199.373492,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301199.372296,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301199.394312,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301224.228253,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301226.010101,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301226.943691,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301238.226171,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301239.4768,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301240.212126,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301354.835124,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301355.208944,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301355.522533,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301355.835741,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301357.611741,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301357.614799,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301399.57066,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301399.573984,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301415.310096,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301415.31195,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301445.808236,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301451.782375,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301452.243438,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301452.620253,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301453.432377,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301453.746149,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301454.16674,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301454.241144,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301456.148354,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301456.594141,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
