
1614011702.85913,A2OR46JV43TOJV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OR46JV43TOJV'}
1614011899.105195,A2OR46JV43TOJV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OR46JV43TOJV'}
1614011927.306474,A2OR46JV43TOJV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OR46JV43TOJV'}
1614011940.257943,A2OR46JV43TOJV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OR46JV43TOJV'}
1614012001.778158,A2OR46JV43TOJV,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2OR46JV43TOJV'}
1614012704.193291,A2OR46JV43TOJV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OR46JV43TOJV'}
1614012706.702201,A2OR46JV43TOJV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OR46JV43TOJV'}
1614012717.675045,A2OR46JV43TOJV,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2OR46JV43TOJV'}
1614012947.976976,A2OR46JV43TOJV,A2OR46JV43TOJV,4,19,8,6,7,9,7,4,17,3,3,9,2,7,10,3,
1614012947.979847,A2OR46JV43TOJV,{'worker-id': 'A2OR46JV43TOJV', 'stage': 'networks', 'data': 'A2OR46JV43TOJV,4,19,8,6,7,9,7,4,17,3,3,9,2,7,10,3,'}
1614012948.811369,A2OR46JV43TOJV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OR46JV43TOJV'}
1614012951.792274,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2OR46JV43TOJV'}
1614012958.10727,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2OR46JV43TOJV'}
1614012958.109491,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2OR46JV43TOJV'}
1614012960.822725,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2OR46JV43TOJV'}
1614012960.826453,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2OR46JV43TOJV'}
1614012960.825019,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OR46JV43TOJV'}
1614012966.362538,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2OR46JV43TOJV'}
1614012966.364908,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2OR46JV43TOJV'}
1614012971.58053,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OR46JV43TOJV'}
1614012971.582465,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2OR46JV43TOJV'}
1614012995.603545,A2OR46JV43TOJV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2OR46JV43TOJV'}
