
1614295868.44687,A2OVET58SDVSB2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVET58SDVSB2'}
1614295880.713261,A2OVET58SDVSB2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OVET58SDVSB2'}
1614296743.443776,A2OVET58SDVSB2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVET58SDVSB2'}
1614296747.209953,A2OVET58SDVSB2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OVET58SDVSB2'}
1614296764.829352,A2OVET58SDVSB2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVET58SDVSB2'}
1614296772.873377,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2OVET58SDVSB2'}
1614296828.334316,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2OVET58SDVSB2'}
1614296828.339651,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2OVET58SDVSB2'}
1614296933.518656,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1614296933.516726,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2OVET58SDVSB2'}
1614296933.542102,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2OVET58SDVSB2'}
1614296943.544154,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2OVET58SDVSB2'}
1614296943.542161,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2OVET58SDVSB2'}
1614296958.061093,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2OVET58SDVSB2'}
1614296958.066125,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1614296961.697464,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2OVET58SDVSB2'}
1614296961.711566,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1614296991.809297,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
