
1614014505.409089,A2P8V5SKYLL5I4,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2P8V5SKYLL5I4'}
1614014527.238782,A2P8V5SKYLL5I4,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2P8V5SKYLL5I4'}
1614014541.904267,A2P8V5SKYLL5I4,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2P8V5SKYLL5I4'}
1614014546.813263,A2P8V5SKYLL5I4,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2P8V5SKYLL5I4'}
1614014627.316112,A2P8V5SKYLL5I4,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2P8V5SKYLL5I4'}
1614014721.450582,A2P8V5SKYLL5I4,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2P8V5SKYLL5I4'}
1614014965.120577,A2P8V5SKYLL5I4,{'worker-id': 'A2P8V5SKYLL5I4', 'stage': 'networks', 'data': 'A2P8V5SKYLL514,14,0,6,22,14,8,2,20,-1,-1,4,1,8,4,8,7,'}
1614014967.009691,A2P8V5SKYLL5I4,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2P8V5SKYLL5I4'}
1614014986.751874,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015026.566957,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015026.569109,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015050.529068,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015050.527255,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015050.842106,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015065.883034,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015065.885358,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015100.872674,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015100.875079,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015117.47572,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015117.491741,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015147.397757,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015173.328576,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015173.345725,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015184.159888,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015184.162104,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015200.935982,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015209.606989,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015210.337764,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015210.651533,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015210.802446,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015211.283085,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015211.59985,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015212.01051,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015212.21855,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015212.740388,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015213.157616,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015213.478998,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015215.98188,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015216.820354,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
