
1614304536.551793,A2PUL3ZDXOW0VZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304605.819981,A2PUL3ZDXOW0VZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304673.482922,A2PUL3ZDXOW0VZ,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304780.090039,A2PUL3ZDXOW0VZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304782.76798,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304844.183263,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304844.18535,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304901.943742,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304901.946535,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304923.356511,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304924.297557,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304925.549847,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304927.746473,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304928.996682,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304929.519033,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304933.899402,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304933.900216,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304956.470349,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304956.468479,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304982.471709,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614304982.473699,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305012.447388,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305036.270194,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305037.415844,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
