
1616108262.8114,A2SAZ2K1V1WJ0V,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108268.042201,A2SAZ2K1V1WJ0V,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108305.322811,A2SAZ2K1V1WJ0V,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108307.202907,A2SAZ2K1V1WJ0V,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108381.13851,A2SAZ2K1V1WJ0V,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108458.445754,A2SAZ2K1V1WJ0V,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108461.799128,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108490.094991,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108490.095842,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108491.347737,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108491.353727,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108491.386474,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108514.222422,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108514.223207,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108516.170244,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108516.171632,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108523.206185,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108523.205513,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108553.286727,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108555.793451,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108557.042634,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108562.867578,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108564.358144,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108564.774813,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108565.29792,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2SAZ2K1V1WJ0V'}
