
1614272728.782989,A2UN9IOX58KPIW,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2UN9IOX58KPIW'}
1614272756.573501,A2UN9IOX58KPIW,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2UN9IOX58KPIW'}
1614272896.654953,A2UN9IOX58KPIW,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2UN9IOX58KPIW'}
1614272901.463064,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2UN9IOX58KPIW'}
1614272982.837875,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2UN9IOX58KPIW'}
1614272982.840397,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2UN9IOX58KPIW'}
1614273020.861711,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2UN9IOX58KPIW'}
1614273023.890794,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2UN9IOX58KPIW'}
1614273023.88812,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2UN9IOX58KPIW'}
1614273075.599674,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2UN9IOX58KPIW'}
1614273075.601031,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2UN9IOX58KPIW'}
1614273170.860028,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2UN9IOX58KPIW'}
1614273170.862077,A2UN9IOX58KPIW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2UN9IOX58KPIW'}
