
1616173582.822421,A2VO8C41JJIQY9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2VO8C41JJIQY9'}
1616173757.705537,A2VO8C41JJIQY9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2VO8C41JJIQY9'}
1616173760.398948,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2VO8C41JJIQY9'}
1616173816.5005,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2VO8C41JJIQY9'}
1616173816.501867,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2VO8C41JJIQY9'}
1616173861.410886,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2VO8C41JJIQY9'}
1616173861.411811,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2VO8C41JJIQY9'}
1616173861.4135,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2VO8C41JJIQY9'}
1616173872.481471,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2VO8C41JJIQY9'}
1616173926.273038,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616173926.770349,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2VO8C41JJIQY9'}
1616173927.211989,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2VO8C41JJIQY9'}
1616173928.151238,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2VO8C41JJIQY9'}
1616173929.365165,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2VO8C41JJIQY9'}
1616173930.066817,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616173930.664651,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616173931.285306,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616173931.914535,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616173936.612433,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2VO8C41JJIQY9'}
