
1614272936.790243,A3CF8ULBSE8MTL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3CF8ULBSE8MTL'}
1614272944.60931,A3CF8ULBSE8MTL,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3CF8ULBSE8MTL'}
1614272957.285799,A3CF8ULBSE8MTL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3CF8ULBSE8MTL'}
1614272959.581898,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3CF8ULBSE8MTL'}
1614272992.967859,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3CF8ULBSE8MTL'}
1614272992.970866,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273017.80439,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273017.805966,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273017.807019,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273026.50241,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273026.503554,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273041.45821,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273041.470447,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273048.853843,A3CF8ULBSE8MTL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273051.570343,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273054.19128,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273054.192701,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273106.412698,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273106.415311,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273106.434637,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273109.438788,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273115.185439,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273119.989846,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273120.930342,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273121.556814,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273121.975434,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273123.332448,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273123.645084,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273124.68961,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CF8ULBSE8MTL'}
