
1614273311.980452,A3EUGE6TLXDMRR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273314.364303,A3EUGE6TLXDMRR,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273383.845738,A3EUGE6TLXDMRR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273386.819425,A3EUGE6TLXDMRR,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273464.588019,A3EUGE6TLXDMRR,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273564.760736,A3EUGE6TLXDMRR,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273687.704313,A3EUGE6TLXDMRR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273691.281027,A3EUGE6TLXDMRR,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273710.394624,A3EUGE6TLXDMRR,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273719.454985,A3EUGE6TLXDMRR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273728.645988,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273777.213236,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273777.511172,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273778.783724,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273779.957672,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273779.985204,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273782.439626,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273782.910984,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273783.610865,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273784.632003,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273785.54074,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273785.88651,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273787.402814,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3EUGE6TLXDMRR'}
