
1614266548.719699,A3IGIMEAKQJVCR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266552.131662,A3IGIMEAKQJVCR,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266560.313239,A3IGIMEAKQJVCR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266562.170337,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266565.119151,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266565.121261,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266567.521939,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266567.525234,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266567.524184,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266568.989378,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266568.991684,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266570.902042,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266570.904365,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266572.745675,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266572.747544,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266573.78998,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266574.312058,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266576.74771,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266580.162193,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266581.415147,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266581.750223,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266582.251219,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266582.877449,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3IGIMEAKQJVCR'}
1614266583.291596,A3IGIMEAKQJVCR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3IGIMEAKQJVCR'}
