
1616292089.857129,A3KP8KFGG6734Q,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3KP8KFGG6734Q'}
1616292094.870599,A3KP8KFGG6734Q,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3KP8KFGG6734Q'}
1616292113.060039,A3KP8KFGG6734Q,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3KP8KFGG6734Q'}
1616292122.865236,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3KP8KFGG6734Q'}
1616292190.17385,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3KP8KFGG6734Q'}
1616292190.174607,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3KP8KFGG6734Q'}
1616292291.863208,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3KP8KFGG6734Q'}
1616292291.870918,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3KP8KFGG6734Q'}
1616292291.887535,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3KP8KFGG6734Q'}
1616292302.307661,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3KP8KFGG6734Q'}
1616292302.308355,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3KP8KFGG6734Q'}
1616292329.055164,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3KP8KFGG6734Q'}
1616292329.056245,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3KP8KFGG6734Q'}
1616292331.552852,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3KP8KFGG6734Q'}
1616292331.554702,A3KP8KFGG6734Q,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3KP8KFGG6734Q'}
