
1614278412.386347,A3KU7OAQMIBV5M,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278416.564336,A3KU7OAQMIBV5M,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278442.202983,A3KU7OAQMIBV5M,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278447.276667,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278464.298437,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278464.300503,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278465.968713,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278467.957129,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278468.374072,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278469.209046,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278471.919643,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278473.802489,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278475.369422,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278476.100927,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278477.981147,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278482.053896,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278482.995034,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278484.247445,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278485.710278,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278486.127455,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
1614278488.532023,A3KU7OAQMIBV5M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3KU7OAQMIBV5M'}
