
1614294898.537929,A3N6DWJC7P3HSI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3N6DWJC7P3HSI'}
1614294944.513121,A3N6DWJC7P3HSI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3N6DWJC7P3HSI'}
1614294948.061285,A3N6DWJC7P3HSI,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3N6DWJC7P3HSI'}
1614294976.226205,A3N6DWJC7P3HSI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3N6DWJC7P3HSI'}
1614294978.334101,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3N6DWJC7P3HSI'}
1614294998.354498,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3N6DWJC7P3HSI'}
1614294998.413527,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295052.32738,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295052.390932,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295052.392325,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295066.795406,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295067.589271,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295067.891347,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295068.42024,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295068.723324,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295068.795241,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295069.161181,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295069.671669,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295069.973084,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295070.079288,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295072.090476,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295072.184034,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295089.508218,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295089.621149,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295098.805663,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295098.847614,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3N6DWJC7P3HSI'}
