
1614299830.250732,A3NXT3OVGL7QNR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3NXT3OVGL7QNR'}
1614299836.094504,A3NXT3OVGL7QNR,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3NXT3OVGL7QNR'}
1614299955.702431,A3NXT3OVGL7QNR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3NXT3OVGL7QNR'}
1614299958.699931,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3NXT3OVGL7QNR'}
1614299999.343428,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3NXT3OVGL7QNR'}
1614299999.344755,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300071.702292,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300071.705937,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300071.726516,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300088.543986,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300089.274965,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300090.214902,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300091.577308,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXT3OVGL7QNR'}
