
1614015205.114018,A3PYD7EU2WFST6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3PYD7EU2WFST6'}
1614015391.591451,A3PYD7EU2WFST6,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3PYD7EU2WFST6'}
1614015452.201343,A3PYD7EU2WFST6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3PYD7EU2WFST6'}
1614015594.23277,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3PYD7EU2WFST6'}
1614015674.131162,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3PYD7EU2WFST6'}
1614015674.134672,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3PYD7EU2WFST6'}
1614015747.141833,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3PYD7EU2WFST6'}
1614015747.143752,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3PYD7EU2WFST6'}
1614015747.510298,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3PYD7EU2WFST6'}
1614015773.782607,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3PYD7EU2WFST6'}
1614015773.805731,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3PYD7EU2WFST6'}
1614015821.959563,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3PYD7EU2WFST6'}
1614015821.957384,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3PYD7EU2WFST6'}
1614015859.745778,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3PYD7EU2WFST6'}
1614015859.743776,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3PYD7EU2WFST6'}
1614015862.256677,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3PYD7EU2WFST6'}
1614015863.817563,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3PYD7EU2WFST6'}
1614015866.387426,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3PYD7EU2WFST6'}
1614015878.335653,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3PYD7EU2WFST6'}
1614015881.468231,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3PYD7EU2WFST6'}
1614015882.111728,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3PYD7EU2WFST6'}
1614015886.066222,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614015886.245603,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614015889.199317,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3PYD7EU2WFST6'}
1614015911.863995,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3PYD7EU2WFST6'}
