
1616170614.851339,A4DT3ZFYDZSVJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170625.10447,A4DT3ZFYDZSVJ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170639.922331,A4DT3ZFYDZSVJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170646.500307,A4DT3ZFYDZSVJ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170662.794554,A4DT3ZFYDZSVJ,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170752.202584,A4DT3ZFYDZSVJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170822.393379,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170828.972907,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170829.802379,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170831.694243,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170832.315448,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170835.760862,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170837.957142,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170842.550958,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170843.17821,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170845.371161,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170846.624699,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170847.564664,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170856.756605,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170856.757305,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170858.018414,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170859.262834,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170860.203369,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170861.142972,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170864.489885,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170864.599984,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170866.751269,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170894.044957,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170894.358723,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170898.118219,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170899.372061,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170901.77425,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170902.818547,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170909.294873,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
1616170910.861512,A4DT3ZFYDZSVJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A4DT3ZFYDZSVJ'}
