
1614034287.707455,AAASQIW3J32OL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AAASQIW3J32OL'}
1614034319.937259,AAASQIW3J32OL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AAASQIW3J32OL'}
1614034372.908621,AAASQIW3J32OL,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'AAASQIW3J32OL'}
1614034580.352334,AAASQIW3J32OL,{'worker-id': 'AAASQIW3J32OL', 'stage': 'networks', 'data': 'AAASQIW3J32OL,20,17,16,6,20,10,2,16,11,10,4,6,-1,2,3,8,'}
1614034580.355408,AAASQIW3J32OL,AAASQIW3J32OL,20,17,16,6,20,10,2,16,11,10,4,6,-1,2,3,8,
1614034580.727446,AAASQIW3J32OL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AAASQIW3J32OL'}
1614034585.51057,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AAASQIW3J32OL'}
1614034619.731218,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AAASQIW3J32OL'}
1614034619.733155,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AAASQIW3J32OL'}
1614034722.197713,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAASQIW3J32OL'}
1614034722.199879,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AAASQIW3J32OL'}
1614034722.202339,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AAASQIW3J32OL'}
1614034731.492308,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614034732.434175,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614034733.059879,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614034733.924546,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAASQIW3J32OL'}
1614034734.521062,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAASQIW3J32OL'}
1614034735.043765,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAASQIW3J32OL'}
1614034735.878353,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAASQIW3J32OL'}
1614034736.506406,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAASQIW3J32OL'}
1614034736.923404,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAASQIW3J32OL'}
1614034751.651054,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAASQIW3J32OL'}
1614034753.322166,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAASQIW3J32OL'}
1614034754.682678,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614034754.813955,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614034757.066276,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AAASQIW3J32OL'}
1614034757.068963,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AAASQIW3J32OL'}
1614034793.813691,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAASQIW3J32OL'}
1614034793.811539,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AAASQIW3J32OL'}
1614034820.872902,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AAASQIW3J32OL'}
1614034820.875168,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAASQIW3J32OL'}
1614034850.52777,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAASQIW3J32OL'}
1614034868.19657,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614034885.973599,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAASQIW3J32OL'}
1614034886.704906,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAASQIW3J32OL'}
1614034887.226577,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAASQIW3J32OL'}
1614034888.065284,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAASQIW3J32OL'}
1614034889.004275,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAASQIW3J32OL'}
1614034889.628518,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAASQIW3J32OL'}
1614034890.464208,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614034891.719285,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAASQIW3J32OL'}
1614034892.761984,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
