
1614300807.340392,AG6WV3WODQ7IN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AG6WV3WODQ7IN'}
1614300811.337247,AG6WV3WODQ7IN,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AG6WV3WODQ7IN'}
1614300842.80687,AG6WV3WODQ7IN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AG6WV3WODQ7IN'}
1614300845.287389,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AG6WV3WODQ7IN'}
1614300871.618905,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AG6WV3WODQ7IN'}
1614300871.621202,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AG6WV3WODQ7IN'}
1614300952.451725,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AG6WV3WODQ7IN'}
1614300952.454686,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AG6WV3WODQ7IN'}
1614300952.473955,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AG6WV3WODQ7IN'}
1614300956.628143,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AG6WV3WODQ7IN'}
1614300956.629633,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AG6WV3WODQ7IN'}
1614300961.749676,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AG6WV3WODQ7IN'}
1614300961.75065,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AG6WV3WODQ7IN'}
1614300963.000168,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AG6WV3WODQ7IN'}
