
1614298834.769223,AG9LMLEPXP2YC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AG9LMLEPXP2YC'}
1614298837.81354,AG9LMLEPXP2YC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AG9LMLEPXP2YC'}
1614298843.431472,AG9LMLEPXP2YC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AG9LMLEPXP2YC'}
1614298845.706837,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AG9LMLEPXP2YC'}
1614298849.913675,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AG9LMLEPXP2YC'}
1614298849.914586,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AG9LMLEPXP2YC'}
1614298850.645586,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AG9LMLEPXP2YC'}
1614298850.647837,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AG9LMLEPXP2YC'}
1614298850.667876,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298851.272149,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298851.274157,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AG9LMLEPXP2YC'}
1614298851.794953,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AG9LMLEPXP2YC'}
1614298851.796928,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AG9LMLEPXP2YC'}
1614298852.422321,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AG9LMLEPXP2YC'}
1614298852.424249,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AG9LMLEPXP2YC'}
1614298853.45998,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AG9LMLEPXP2YC'}
1614298882.318894,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AG9LMLEPXP2YC'}
1614298902.975318,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AG9LMLEPXP2YC'}
1614298902.977202,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AG9LMLEPXP2YC'}
1614298903.810841,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AG9LMLEPXP2YC'}
1614298903.814128,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AG9LMLEPXP2YC'}
1614298905.586155,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298906.213326,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AG9LMLEPXP2YC'}
1614298906.630665,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AG9LMLEPXP2YC'}
1614298907.415363,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298907.98837,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.013532,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.014488,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.016414,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.019906,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.018517,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.06854,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.089886,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.095754,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.104791,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.106141,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.113067,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.159502,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.177599,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.179775,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.187643,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.193594,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.19745,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
