
1614275023.836374,AJ9D1YJTH7C0Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275045.564861,AJ9D1YJTH7C0Y,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275062.0655,AJ9D1YJTH7C0Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275066.009897,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275075.777938,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275075.778795,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275086.088554,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275089.256958,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275092.904151,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275179.252391,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275179.254948,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275179.255765,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275182.078337,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275183.64456,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275184.79288,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275188.4873,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275190.332096,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275191.63367,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AJ9D1YJTH7C0Y'}
