
1614016584.79755,AKK6H2YXK4RF6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AKK6H2YXK4RF6'}
1614016591.692481,AKK6H2YXK4RF6,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AKK6H2YXK4RF6'}
1614016636.698104,AKK6H2YXK4RF6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AKK6H2YXK4RF6'}
1614016643.385718,AKK6H2YXK4RF6,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AKK6H2YXK4RF6'}
1614016666.915169,AKK6H2YXK4RF6,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'AKK6H2YXK4RF6'}
1614016864.928713,AKK6H2YXK4RF6,AKK6H2YXK4RF6,11,17,11,0,12,19,2,20,-1,-1,7,-1,-1,7,4,0,
1614016865.865124,AKK6H2YXK4RF6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AKK6H2YXK4RF6'}
1614016870.045004,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AKK6H2YXK4RF6'}
1614016894.901181,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AKK6H2YXK4RF6'}
1614016894.903684,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AKK6H2YXK4RF6'}
1614016946.189923,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AKK6H2YXK4RF6'}
1614016946.187151,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AKK6H2YXK4RF6'}
1614016946.212098,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKK6H2YXK4RF6'}
1614016953.603138,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614016954.543736,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKK6H2YXK4RF6'}
1614016955.505023,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKK6H2YXK4RF6'}
1614016957.169296,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614016957.675615,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614016957.989877,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614016959.033205,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKK6H2YXK4RF6'}
1614016959.208742,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKK6H2YXK4RF6'}
1614016959.556295,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKK6H2YXK4RF6'}
1614016960.501816,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKK6H2YXK4RF6'}
1614016961.169214,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKK6H2YXK4RF6'}
1614016961.541517,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKK6H2YXK4RF6'}
1614016963.840523,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AKK6H2YXK4RF6'}
1614016963.838605,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AKK6H2YXK4RF6'}
1614016972.719278,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AKK6H2YXK4RF6'}
1614016972.717407,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AKK6H2YXK4RF6'}
1614016982.642857,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AKK6H2YXK4RF6'}
1614016982.666857,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AKK6H2YXK4RF6'}
1614017012.617473,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKK6H2YXK4RF6'}
1614017027.236651,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKK6H2YXK4RF6'}
1614017028.284372,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AKK6H2YXK4RF6'}
1614017029.016061,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKK6H2YXK4RF6'}
1614017029.956373,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKK6H2YXK4RF6'}
1614017030.794459,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKK6H2YXK4RF6'}
1614017031.524376,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKK6H2YXK4RF6'}
1614017032.457312,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKK6H2YXK4RF6'}
1614017033.089139,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AKK6H2YXK4RF6'}
1614017033.82103,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614017034.552016,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AKK6H2YXK4RF6'}
1614017035.28121,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AKK6H2YXK4RF6'}
1614017036.215823,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKK6H2YXK4RF6'}
1614017036.849872,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKK6H2YXK4RF6'}
1614017037.37259,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AKK6H2YXK4RF6'}
1614017037.896634,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AKK6H2YXK4RF6'}
1614017039.357394,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AKK6H2YXK4RF6'}
1614017040.583645,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AKK6H2YXK4RF6'}
1614017040.585668,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AKK6H2YXK4RF6'}
1614017043.221554,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKK6H2YXK4RF6'}
1614017043.777579,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKK6H2YXK4RF6'}
1614017045.858002,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKK6H2YXK4RF6'}
1614017046.666501,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKK6H2YXK4RF6'}
1614017048.293582,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614017048.756825,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614017054.814922,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614017055.23273,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKK6H2YXK4RF6'}
1614017056.488553,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKK6H2YXK4RF6'}
1614017056.694774,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKK6H2YXK4RF6'}
1614017057.427102,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKK6H2YXK4RF6'}
1614017057.739727,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKK6H2YXK4RF6'}
1614017065.817819,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AKK6H2YXK4RF6'}
1614017065.821024,AKK6H2YXK4RF6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKK6H2YXK4RF6'}
