
1614271535.468653,AKNU5D6QK7M72,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AKNU5D6QK7M72'}
1614271553.54148,AKNU5D6QK7M72,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AKNU5D6QK7M72'}
1614271585.912333,AKNU5D6QK7M72,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AKNU5D6QK7M72'}
1614271592.450808,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AKNU5D6QK7M72'}
1614271627.375058,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AKNU5D6QK7M72'}
1614271627.377846,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AKNU5D6QK7M72'}
1614271732.917823,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AKNU5D6QK7M72'}
1614271732.919028,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKNU5D6QK7M72'}
1614271732.92025,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AKNU5D6QK7M72'}
1614271747.596521,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AKNU5D6QK7M72'}
1614271747.597317,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AKNU5D6QK7M72'}
1614271775.277345,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AKNU5D6QK7M72'}
1614271775.276254,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AKNU5D6QK7M72'}
1614271809.113448,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AKNU5D6QK7M72'}
1614271809.115506,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AKNU5D6QK7M72'}
1614271839.192938,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKNU5D6QK7M72'}
1614271851.088455,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271851.935538,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271852.457578,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271853.398886,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271854.028154,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271854.75548,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271855.659146,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271856.427335,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271857.158864,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271858.412678,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKNU5D6QK7M72'}
