
1614014681.110878,ARI1EMAHUA9PO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'ARI1EMAHUA9PO'}
1614014687.493231,ARI1EMAHUA9PO,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'ARI1EMAHUA9PO'}
1614014703.172191,ARI1EMAHUA9PO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'ARI1EMAHUA9PO'}
1614014708.354154,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'ARI1EMAHUA9PO'}
1614014726.71761,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'ARI1EMAHUA9PO'}
1614014726.726699,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014780.878731,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614014780.880534,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014780.898399,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'ARI1EMAHUA9PO'}
1614014789.685846,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614014791.222734,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614014791.639911,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614014791.958206,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614014793.119821,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014793.415883,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014793.652887,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014794.044428,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014794.774367,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ARI1EMAHUA9PO'}
1614014794.953729,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ARI1EMAHUA9PO'}
1614014795.194002,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ARI1EMAHUA9PO'}
1614014795.82378,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614014796.340011,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014798.872612,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'ARI1EMAHUA9PO'}
1614014798.873419,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'ARI1EMAHUA9PO'}
1614014808.039645,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'ARI1EMAHUA9PO'}
1614014808.041995,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ARI1EMAHUA9PO'}
1614014826.852724,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'ARI1EMAHUA9PO'}
