
1614288554.687515,AW5O1RK3W60FC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AW5O1RK3W60FC'}
1614288577.898341,AW5O1RK3W60FC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AW5O1RK3W60FC'}
1614288605.024148,AW5O1RK3W60FC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AW5O1RK3W60FC'}
1614288611.769185,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AW5O1RK3W60FC'}
1614288624.138608,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AW5O1RK3W60FC'}
1614288624.140498,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AW5O1RK3W60FC'}
1614288637.926671,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AW5O1RK3W60FC'}
1614288637.952087,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW5O1RK3W60FC'}
1614288637.952891,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AW5O1RK3W60FC'}
1614288649.251251,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AW5O1RK3W60FC'}
1614288649.261507,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AW5O1RK3W60FC'}
1614288651.609428,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW5O1RK3W60FC'}
1614288653.383994,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW5O1RK3W60FC'}
1614288655.264743,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AW5O1RK3W60FC'}
1614288655.266923,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AW5O1RK3W60FC'}
1614288656.72696,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AW5O1RK3W60FC'}
1614288656.729834,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AW5O1RK3W60FC'}
1614288658.554587,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW5O1RK3W60FC'}
1614288663.620257,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW5O1RK3W60FC'}
1614288666.232509,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW5O1RK3W60FC'}
1614288668.425487,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW5O1RK3W60FC'}
1614288670.72446,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW5O1RK3W60FC'}
1614288672.500342,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW5O1RK3W60FC'}
1614288674.304736,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AW5O1RK3W60FC'}
1614288678.662607,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW5O1RK3W60FC'}
1614288686.809665,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW5O1RK3W60FC'}
1614288699.238312,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AW5O1RK3W60FC'}
1614288699.240371,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AW5O1RK3W60FC'}
1614288711.245344,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AW5O1RK3W60FC'}
1614288711.247372,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW5O1RK3W60FC'}
1614288712.819128,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AW5O1RK3W60FC'}
1614288712.822084,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AW5O1RK3W60FC'}
1614288714.802253,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW5O1RK3W60FC'}
1614288718.443215,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW5O1RK3W60FC'}
1614288719.501942,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW5O1RK3W60FC'}
1614288720.44708,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW5O1RK3W60FC'}
1614288724.614549,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AW5O1RK3W60FC'}
1614288726.358991,AW5O1RK3W60FC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AW5O1RK3W60FC'}
