
1616100432.0018,AZMOA8ONG0D2U,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AZMOA8ONG0D2U'}
1616100439.104954,AZMOA8ONG0D2U,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AZMOA8ONG0D2U'}
1616100459.785845,AZMOA8ONG0D2U,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AZMOA8ONG0D2U'}
1616100461.980037,AZMOA8ONG0D2U,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AZMOA8ONG0D2U'}
1616100494.667053,AZMOA8ONG0D2U,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'AZMOA8ONG0D2U'}
1616100554.83504,AZMOA8ONG0D2U,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AZMOA8ONG0D2U'}
1616100557.448186,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AZMOA8ONG0D2U'}
1616100581.482761,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AZMOA8ONG0D2U'}
1616100581.48557,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AZMOA8ONG0D2U'}
1616100582.70769,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AZMOA8ONG0D2U'}
1616100582.709515,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AZMOA8ONG0D2U'}
1616100582.733824,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
1616100589.617718,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AZMOA8ONG0D2U'}
1616100589.619224,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AZMOA8ONG0D2U'}
1616100598.391555,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AZMOA8ONG0D2U'}
1616100598.393148,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AZMOA8ONG0D2U'}
1616100599.958239,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AZMOA8ONG0D2U'}
1616100599.958954,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AZMOA8ONG0D2U'}
1616100629.934989,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
1616100636.098723,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AZMOA8ONG0D2U'}
1616100637.455259,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100637.575191,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100637.767678,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100638.185558,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100638.499862,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100638.997122,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100640.274409,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
1616100640.2753,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AZMOA8ONG0D2U'}
1616100645.91773,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AZMOA8ONG0D2U'}
1616100646.96021,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AZMOA8ONG0D2U'}
1616100647.499246,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AZMOA8ONG0D2U'}
1616100648.005089,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100648.842707,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100649.57067,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100649.989011,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100650.71377,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100652.077514,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AZMOA8ONG0D2U'}
1616100652.07829,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
