
1616364279.430712,F41962,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'F41962'}
1616364296.425738,F41962,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'F41962'}
1616364326.653264,F41962,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'F41962'}
1616364353.802659,F41962,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'F41962'}
1616364355.210967,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'F41962'}
1616364396.311415,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'F41962'}
1616364396.312285,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'F41962'}
1616364495.749895,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'F41962'}
1616364495.754705,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'F41962'}
1616364495.778662,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F41962'}
1616364504.468083,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364504.83986,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364505.150874,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364505.614352,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364505.852394,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364506.089845,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364506.925876,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364507.135072,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364507.299296,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364513.402904,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'F41962'}
1616364513.403546,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'F41962'}
1616364517.794957,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F41962'}
1616364517.997935,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F41962'}
1616364539.410997,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F41962'}
1616364539.411764,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'F41962'}
1616364554.660388,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'F41962'}
1616364554.662637,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F41962'}
1616364584.74116,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F41962'}
1616364602.392858,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
