
1616346861.569622,F83626,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'F83626'}
1616346872.251973,F83626,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'F83626'}
1616347131.813581,F83626,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'F83626'}
1616347192.080661,F83626,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'F83626'}
1616347245.558809,F83626,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'F83626'}
1616347258.82637,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'F83626'}
1616347304.885723,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'F83626'}
1616347304.886764,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'F83626'}
1616347404.821113,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'F83626'}
1616347404.822253,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'F83626'}
1616347404.84985,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616347422.705253,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347424.377163,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347425.034001,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347426.152139,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347426.987577,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347427.614252,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347428.654678,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347429.081827,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347429.521818,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347430.333199,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347431.166552,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347432.680906,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347433.567905,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347434.507866,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347440.568352,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'F83626'}
1616347440.569052,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'F83626'}
1616347506.265277,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616347506.265703,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'F83626'}
1616347541.673299,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616347541.674653,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'F83626'}
1616347572.08692,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616347591.736033,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347591.844234,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347592.048721,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347592.675873,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347593.093259,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347594.556394,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347594.690339,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347594.849038,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347595.39215,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
